gram,counts
covid 19,51853908
19 cases,1814572
19 pandemic,1774105
19 vaccine,1713835
coronavirus pandemic,1672405
coronavirus covid19,1665553
coronavirus cases,1518016
covid19 coronavirus,1420080
new cases,1174167
positive covid,876501
new york,821172
tested positive,811526
covid19 pandemic,780887
new covid,775446
coronavirus vaccine,739517
social distancing,712276
new coronavirus,702829
due covid,679616
nuevos casos,676505
via youtube,671784
casos covid,665008
donald trump,665002
white house,648707
coronavirus covid,643804
positive coronavirus,637610
public health,614214
death toll,614190
wear mask,565724
19 deaths,561313
stay home,551248
covid19 cases,543372
casos coronavirus,523716
19 patients,511659
tests positive,487448
coronavirus outbreak,472676
united states,469214
coronavirus deaths,461435
24 horas,444776
19 crisis,443331
due coronavirus,441951
coronavirus crisis,439585
test positive,424610
coronavirus lockdown,419573
president trump,417689
gon na,417663
19 via,416158
due covid19,401668
stay safe,397897
100 000,391390
19 testing,386816
cases covid,385865
news coronavirus,381110
covid19 vaccine,380577
bbc news,375189
19 test,370802
19 di,370609
amid coronavirus,370510
many people,366823
confirmed cases,365965
sars cov,363662
pandemia coronavirus,360338
gt gt,359921
casos confirmados,355303
health care,352632
pandemi covid,351431
protokol kesehatan,350465
24 hours,345203
19 vaccines,342947
da covid,335471
spread coronavirus,331704
amid covid,327648
casos positivos,324015
penyebaran covid,320808
boris johnson,320047
year old,319768
19 outbreak,319760
últimas 24,319298
coronavirus via,318596
task force,318496
second wave,314427
mental health,309914
people died,309416
spread covid,303743
long term,299729
pandemia covid,293887
pandemia covid19,293866
19 relief,293619
active cases,292640
died covid,288332
vacuna covid,287992
live updates,287670
nursing homes,287117
joe biden,286157
novel coronavirus,286067
corona virus,282293
new deaths,279721
looks like,276421
19 response,272990
fake news,270492
get covid,265471
spread covid19,265102
wearing mask,264093
coronavirus relief,262754
fight covid,261768
herd immunity,260434
19 death,260390
around world,258072
bill gates,256903
impact covid,256627
positivo covid,254234
good news,254204
wear masks,253998
du coronavirus,252372
death rate,251494
coronavirus response,249260
coronavirus death,247651
000 people,247619
last week,246441
coronavirus covid_19,245976
19 virus,245822
positive cases,244946
covid_19 coronavirus,244632
dr fauci,243683
covid19 covid,243211
covid19 covid_19,241988
trump administration,240026
coronavirus live,236233
contact tracing,235464
first time,235400
cases coronavirus,232187
19 update,229450
face masks,229044
19 lockdown,227929
trump coronavirus,225345
19 coronavirus,225126
coronavirus update,225073
every day,224172
new covid19,220433
000 americans,219747
wearing masks,214627
casos covid19,213306
make sure,212924
positive covid19,212361
help us,212334
save lives,211779
covid19 deaths,211381
19 tests,210619
covid covid19,210336
york times,209001
social media,208319
19 restrictions,208042
go back,206938
du covid,204758
fight covid19,204517
coronavirus restrictions,203631
fight coronavirus,202961
10 000,202294
cases reported,201421
total cases,200541
health officials,200056
href rel,198982
rel nofollow,198982
coronavirus testing,198750
covid19 lockdown,198009
single day,197381
fox news,195923
true href,195142
loved ones,193966
prime minister,193849
covid coronavirus,193534
wash hands,193392
new normal,192935
positivo coronavirus,191698
000 deaths,191357
new zealand,190631
cases deaths,190168
qu il,190163
join us,188682
cases covid19,188106
corona covid19,186221
american people,185989
response covid,185590
million people,185509
face mask,185503
covid19 crisis,184937
est pas,184327
positif covid,184240
coronavirus patients,182290
nursing home,182278
two weeks,182044
one day,181887
total number,181658
south africa,181004
200 000,181002
died coronavirus,180859
contagios covid,178595
casos nuevos,177050
post covid,176876
last 24,176515
coronavirus argentina,174622
covid_19 covid19,169720
get coronavirus,168515
stop spread,168356
people die,167638
nofollow twitter,167239
vacuna coronavirus,167177
need know,166259
19 case,165944
19 positive,165033
crisis coronavirus,164686
healthcare workers,164646
19 em,164638
people dying,164213
coronavirus infections,163489
next week,162137
covid19 patients,161819
small businesses,161365
19 vaccination,161356
coronavirus test,160875
coronavirus disease,159781
get tested,159775
virus covid,159695
du covid19,159068
sign petition,158928
coronavirus corona,158896
new post,158008
muertes covid,157405
us coronavirus,157388
would like,156824
global pandemic,156250
hong kong,156043
americans died,155333
contagios coronavirus,155281
nuevos contagios,154914
died covid19,153953
please help,153402
covid19 amp,150192
look like,148823
000 dead,148621
muertes coronavirus,147612
trump says,146985
young people,146376
19 infections,145404
covid19 corona,145312
il coronavirus,144420
testing positive,144071
go away,141959
casos activos,139893
coronavirus task,138910
19 amp,138434
wan na,138055
vaksin covid,137625
take care,137316
corona coronavirus,137029
across country,136384
breaking news,136149
last year,135859
coronavirus trump,135525
get back,135192
ministerio salud,134765
000 covid,133449
per day,133114
cases rise,131892
south korea,131862
slow spread,131736
com covid,131141
pandemic covid19,130497
porn usa,129676
social distance,129358
high risk,129337
relief bill,128933
world health,128877
reino unido,128767
19 infection,128442
well done,128323
washington post,128272
positivos covid,128184
coronavirus updates,128103
dio positivo,128061
deaths reported,127817
het coronavirus,127543
pacientes covid,126948
pfizer biontech,126008
ee uu,125962
coronavirus spread,125506
climate change,125038
cashless society,124863
post covid19,124261
covid19 covidー19,123711
number covid,123663
000 new,123631
response coronavirus,123497
deaths covid,122403
back work,122109
19 related,121582
covid19 virus,120225
covid cases,119885
19 spread,119715
even though,118326
coronavirus news,117607
let us,117540
die covid,117100
of the,117052
covid19 testing,115756
โคว ด19,115749
penanganan covid,115674
at home,115635
people get,115556
immune system,114865
in the,114667
health minister,114270
14 days,114139
19 impact,113518
19 situation,113200
covidー19 coronavirus,112998
months ago,112705
daily thanks,112296
covid19 sarscov2,112103
people like,111577
twitter web,111328
test results,110685
confirmed covid,110083
recovery rate,109321
people need,109306
number cases,108991
in person,108581
coronavirus tests,108403
nouveaux cas,107789
health department,107753
mask wearing,107284
top story,107252
via gatewaypundit,107158
coronavirus covidー19,107044
federal government,106887
tell us,106794
us covid,106585
uk coronavirus,106344
total deaths,106336
dies covid,105977
prevent spread,105694
000 000,105581
virus covid19,105410
50 000,104980
get covid19,104804
covid19 test,104323
trump covid,104116
small business,103955
care workers,103810
need help,103702
il est,103084
health workers,102887
johns hopkins,102280
people covid,102178
vacunas covid,101984
via nytimes,101786
study finds,101260
spread virus,100581
department health,99347
petition via,98504
contagios covid19,98415
stayhome staysafe,97832
muertos coronavirus,97673
care homes,97625
19 dengan,97349
impact covid19,97103
covid19 response,96567
feel like,96482
coronavirus infection,95879
web app,95711
common sense,95672
19 covid19,95471
got ta,95311
new death,94494
nuevo coronavirus,94411
must read,93940
da saúde,93795
first covid,92965
19 data,92729
football covid19,92673
usa football,92657
response covid19,92204
supreme court,92202
via yahoo,91368
000 coronavirus,91359
next year,91039
pfizer covid,90987
health ministry,90155
coronavirus stimulus,90022
says coronavirus,89635
covid deaths,89310
god bless,88969
since march,88885
vacuna covid19,88675
click link,88222
nuovi casi,88135
realdonaldtrump trump,88090
weeks ago,87982
mortality rate,87915
coronavirus vaccines,87198
front line,86967
post coronavirus,86860
sounds like,86856
test covid,86836
infected coronavirus,86649
anthony fauci,86558
última hora,85995
coronavirus related,85469
coronavirus vía,85406
people still,85322
president donald,84869
watch live,84818
contre covid,84718
seems like,84590
covid vaccine,84334
back school,84122
novos casos,83865
il faut,83772
china coronavirus,83510
coronavirus coronavirus,83054
mortes covid,82549
press conference,82472
19 numbers,81575
world news,81504
handling coronavirus,81340
abc news,81215
covid19 positive,81177
coronavirus india,80620
india mitega,80366
health organization,80339
get well,80300
positivity rate,80090
mil casos,79979
19 symptoms,79945
20 000,79752
от covid,79172
side effects,78590
19 treatment,78180
pandemic via,78092
mitega india,78068
the coronavirus,78059
looking forward,77835
family members,77716
covid19 vaccines,77152
high school,76937
one thing,76840
every single,76831
super spreader,76815
cases confirmed,76199
population coronavirus,75551
stay at,75335
deaths covid19,74435
new year,74421
vacina covid,74356
puede ser,74266
back normal,73739
cases new,73627
get sick,73228
relief package,72989
di indonesia,72536
meaning behind,72504
coronavirus could,72439
last days,72368
segunda ola,72360
die coronavirus,72038
sarscov2 forecast,71868
salud pública,71766
coronavirus uk,71431
well soon,71274
common cold,71245
death population,70764
nueva cepa,70737
coronavirus new,70628
read article,70417
au coronavirus,70417
lockdown covid19,70343
19 vía,70291
cases today,70200
human rights,70165
19 dan,69819
deaths coronavirus,68999
experts say,68987
coronavirus il,68925
york city,68787
deaths per,68756
health amp,68577
whitehouse realdonaldtrump,68492
cases surge,68310
infected covid,68251
please take,68043
new study,68036
fatality rate,67693
getting covid,67604
trump said,67488
américa latina,67384
vacunación covid,67263
crisis covid,66911
uk government,66792
da positivo,66688
like coronavirus,66655
americans dead,66604
via breitbartnews,66496
take look,66056
19 través,65581
pasien covid,65569
last night,65526
bringing total,65373
daily coronavirus,65312
great job,65113
500 000,64838
30 000,64084
anyone else,63651
emergency use,63467
health experts,63465
crisis covid19,63442
vaccine rollout,62555
di tengah,62418
via googlenews,62262
virus corona,62009
coronavirus variant,61971
positivos coronavirus,61835
thank god,61808
come back,61744
people tested,61664
19 patient,61469
vaccine trial,61382
wear face,61201
tiempos coronavirus,60999
covidー19 covid19,60980
19 vaccinations,60819
pcr test,60571
trump campaign,60438
years ago,60046
fauci says,59933
au covid,59727
cada vez,59701
tested covid,59551
cegah covid,59107
negative covid,59066
know covid,58807
covid19 death,58703
number coronavirus,58689
coronavirus us,58602
like covid,58582
coronavirus case,58290
cause death,58256
per il,58182
jaga jarak,58159
dies coronavirus,58092
latest news,57995
coronavirus aid,57956
19 covid,57574
coronavirus españa,57568
related deaths,57324
clinical trials,57161
us covid19,57053
crise du,57051
covid19 outbreak,57030
people coronavirus,56666
long time,56565
mencegah penyebaran,56496
care home,56371
free covid,56280
vaccine doses,56233
kasus covid,56194
term care,56177
cases per,56150
19 recovery,56037
wave coronavirus,56036
co uk,55624
aumento casos,55513
lives matter,55315
says covid,55170
working home,55152
coronavirus china,55008
health crisis,54852
george floyd,54633
11 2020,54600
000 cases,54273
patuhi protokol,54248
mask mandate,54168
covid19 update,54127
aujourd hui,54026
get vaccine,53828
vaksinasi covid,53811
mike pence,53753
vaccine distribution,53686
take covid,53383
live news,53347
great news,53319
thearieair tjhinfar21,53316
cases amp,53302
covid19 coronaviruspandemic,53235
new jersey,53179
update covid,53091
number deaths,52940
terdampak covid,52856
muertos covid,52718
please read,52696
society know,52618
trump amp,52392
got covid,52378
fallecidos covid,52376
positivo covid19,52333
april 2020,52215
coronavirus amp,51823
daily covid,51821
number people,51734
10 2020,51597
19 ini,51558
president elect,51473
home order,51308
staying home,51297
namo app,51245
em casa,51202
reported today,50969
daily cases,50669
essential workers,50485
1trenggalek thearieair,50279
coronavirus may,50206
qu ils,50190
may 2020,50085
covid19 vaccination,50027
19 variant,49946
talk us,49724
black people,49567
dosis vacuna,49238
house coronavirus,48999
china virus,48870
não tem,48673
300 000,48653
lockdown coronavirus,48458
mark beast,48391
time covid,48356
good job,48235
000 casos,48230
wave covid,48178
via nypost,48162
12 2020,47914
conspiracy theories,47889
die covid19,47701
da pandemia,47565
economic recovery,47552
19 protocols,47410
two months,47377
19 méxico,47246
cegah penyebaran,47120
rfid microchip,47050
hidden meaning,46920
towards cashless,46739
infectious disease,46727
impact coronavirus,46725
johnson amp,46397
buy song,46280
covid19 stayhome,46211
twitter android,45879
work home,45830
microchip mark,45733
19 could,45729
penularan covid,45586
2121 hello,45549
est une,45504
19 may,45493
fantasticradio co,45487
amp johnson,45461
positive test,45413
dead americans,45356
coronavirus quarantine,45273
hello fantasticradio,45252
homeofpossibilities believeyourpossibilities,44995
000 muertos,44971
million doses,44952
new strain,44840
19 surge,44812
keep safe,44750
contre coronavirus,44723
million covid,44600
pm modi,44499
via franceinfo,44492
black lives,44379
dari covid,44046
wuhan lab,44001
40 000,44000
latest covid,43828
19 still,43818
da covid19,43758
vacuna rusa,43700
re going,43343
us 0208,43212
self isolate,43204
latest coronavirus,43202
couvre feu,43148
personal salud,43139
new variant,42810
disease 2019,42694
pfizer vaccine,42683
empower educate,42658
educate talk,42642
entertain empower,42638
0208 090,42635
090 2121,42634
99 recovery,42630
since covid,42382
covid19 relief,42233
pakai masker,42230
trump rally,42228
19 news,42221
je suis,42219
via mailonline,42206
please share,42201
june 2020,42101
04 2020,42038
face coverings,41802
dying covid,41788
stock market,41768
2nd wave,41704
pandemic coronavirus,41615
coronavirus coverage,41527
test kits,41482
global coronavirus,41479
coronavirus symptoms,41427
tni polri,41412
vacunas covid19,41385
per capita,41195
qu on,41047
risk covid,40979
vaccine covid19,40915
intensive care,40728
nuevas muertes,40696
19 yang,40690
400 000,40687
want know,40675
handling covid,40669
first coronavirus,40618
highest number,40575
deliver copy,40455
doctors nurses,40435
10 days,40288
confirmed coronavirus,40270
moderna covid,40243
infection rate,39980
everyone else,39853
communist party,39849
herman cain,39844
andrew cuomo,39838
07 2020,39836
right thing,39774
cure coronavirus,39613
time coronavirus,39498
coronavirus lockdowns,39402
dominic cummings,39386
nancy pelosi,39366
via nbcnews,39342
going get,39304
stimulus checks,39301
million coronavirus,39253
dr anthony,39152
copy officials,39136
tested negative,39129
covid19 covidvaccine,38872
05 2020,38832
covid19india coronavirus,38801
daily updates,38764
vice president,38531
fallecidos coronavirus,38516
death rates,38476
whole world,38389
coronavirus briefing,38347
via change,38343
new infections,38335
dengan tetap,38326
cuarentena coronavirus,38321
via usatoday,38289
million americans,38046
get vaccinated,37942
memerangi covid,37942
receive covid,37926
19 país,37911
da vacina,37804
real estate,37651
first lady,37497
chinese virologist,37448
das coronavirus,37411
coronavirus treatment,37404
july 2020,37341
read coronavirus,37252
primer caso,37117
cases india,37093
est ce,37080
record high,36942
19 safety,36671
first dose,36665
six months,36633
contagio covid,36624
via nyt,36293
tengah pandemi,36287
mata rantai,36114
ils ont,36110
flu season,35981
contre covid19,35968
19 new,35783
get rid,35752
salah satu,35728
going back,35721
days ago,35533
06 2020,35486
frontline workers,35449
ceux qui,35369
2020 coronavirus,35333
amid covid19,35304
yang terdampak,35132
india covid,35098
september 2020,35086
fighting coronavirus,35016
front lines,35002
help fight,34931
