term,counts
covid,58156751
coronavirus,56152440
19,53185282
covid19,43962450
people,10113281
amp,9874216
cases,9525544
new,9245376
trump,8940419
pandemic,7666991
via,6736555
us,6698042
virus,5787285
vaccine,5379981
get,5297863
deaths,5268441
news,5004655
one,4939466
nan,4931566
health,4906942
like,4875806
000,4469091
2020,4228904
casos,4056406
realdonaldtrump,4022619
time,3945743
world,3634287
would,3511915
di,3471521
positive,3443182
lockdown,3416754
need,3411900
help,3346589
know,3287359
china,3287265
day,3203507
si,3118756
test,3062475
da,2995296
please,2953670
many,2900235
could,2887598
today,2883488
still,2866198
et,2861486
death,2857648
go,2837115
see,2829958
says,2823625
first,2817887
home,2780243
government,2758978
due,2685696
may,2684189
die,2681376
crisis,2643665
10,2638214
state,2636237
going,2610681
even,2591814
good,2589029
back,2557023
il,2551928
take,2533923
work,2519506
corona,2509950
na,2453969
testing,2444857
mask,2407635
des,2397288
pandemia,2386229
total,2385939
care,2380088
country,2351160
spread,2320651
uk,2314244
the,2294843
well,2236004
per,2228428
make,2227737
year,2224901
president,2219677
think,2215635
said,2201484
re,2183258
est,2175838
also,2158637
right,2145252
india,2125323
du,2119660
read,2111148
patients,2098875
masks,2055192
live,2036996
public,2032321
want,2023601
say,2020337
tests,1988190
let,1978317
social,1966595
americans,1917831
way,1908829
last,1902033
stay,1899862
hospital,1895440
data,1866206
days,1852785
dan,1848867
response,1837227
support,1829835
24,1829796
covid_19,1809561
stop,1804455
much,1782388
really,1781166
20,1780404
million,1778723
dr,1747061
pour,1744222
keep,1733327
since,1705094
safe,1700614
great,1699369
week,1683691
em,1670297
tested,1657528
states,1654409
number,1653179
must,1629180
daily,1625559
died,1616423
salud,1599991
every,1595583
got,1586758
life,1567096
100,1564404
latest,1563119
update,1545632
america,1544791
risk,1532691
lives,1526682
business,1513267
times,1507713
two,1501810
face,1501306
workers,1496641
everyone,1490620
global,1482808
another,1471555
pas,1464519
usa,1462699
come,1458569
com,1448088
never,1443658
look,1432351
11,1428848
non,1413595
12,1411738
real,1408355
case,1402758
man,1401534
getting,1390293
use,1388763
plan,1382516
não,1370051
economy,1363164
to,1362659
30,1358045
months,1357735
outbreak,1355034
nuevos,1354306
gt,1353687
free,1352344
next,1351689
family,1347590
school,1346154
mais,1339572
rate,1338953
post,1327140
long,1324624
biden,1323639
better,1323265
made,1317783
hope,1313231
15,1292465
media,1289804
thank,1287070
house,1285354
report,1282124
in,1277024
medical,1276807
video,1272175
au,1270189
fight,1267951
reported,1266599
open,1258286
around,1254195
money,1252035
county,1246430
une,1235167
end,1230081
numbers,1222205
ca,1218130
país,1215801
wear,1211081
children,1208209
thanks,1186707
impact,1176866
ser,1176675
personas,1175835
confirmed,1173377
vacuna,1172486
amid,1169407
high,1168815
youtube,1164412
flu,1159118
mil,1152247
working,1148779
vaccines,1148557
reports,1143266
mundo,1138553
check,1137456
ve,1137314
gobierno,1135902
control,1128632
yet,1128486
give,1126575
cdc,1123873
watch,1119955
done,1119007
14,1117041
eu,1116421
without,1116290
contagios,1109688
restrictions,1108187
years,1102749
schools,1102559
plus,1085813
american,1084301
best,1075427
relief,1074848
already,1074192
countries,1073172
thing,1068565
study,1067567
sur,1066737
dans,1065027
quarantine,1062416
community,1062363
hoy,1057550
big,1057192
part,1055866
god,1055547
job,1054784
weeks,1053686
person,1047338
top,1041708
white,1038877
put,1035794
online,1034193
disease,1033533
2021,1028230
away,1026614
dead,1024884
nothing,1023340
find,1022179
article,1022013
va,1019742
qui,1016329
updates,1015384
ne,1010971
second,1007626
der,1007238
show,1005679
anyone,1005678
and,1001020
start,997721
gop,991732
love,990791
believe,989779
needs,988278
je,988167
staff,987898
protect,986412
students,986323
infected,986099
sure,983261
important,982905
gente,980459
national,977651
call,977490
information,977257
bill,972004
far,965453
city,964093
50,963853
ever,959998
yang,958421
florida,958390
vote,954634
travel,951392
de,947226
dos,944586
oh,940042
muertes,938779
día,938301
sa,937421
um,930911
things,930797
science,929176
covidー19,926224
local,925475
york,921682
symptoms,916347
bad,915740
medidas,912973
van,906405
change,897586
twitter,896275
taking,895658
full,892473
continue,891982
true,891422
old,891343
ce,890984
yes,888548
across,886850
cnn,884840
distancing,884529
lost,884455
follow,883029
vía,882956
others,882569
coming,879068
13,879057
research,878321
someone,878130
of,877147
recovery,876899
something,876673
18,875082
story,874334
food,872913
tell,872378
und,869627
che,868352
brasil,859152
enough,858924
place,858281
businesses,854468
healthcare,853790
team,853675
méxico,852902
economic,851053
breaking,848172
fauci,847429
infection,846933
das,845792
ahora,843548
hit,842300
safety,838822
soon,838343
trying,835930
app,835045
contact,834433
infections,833499
solo,831124
france,828980
hospitals,828445
situation,826709
doctors,826640
south,826568
pm,825274
making,822491
might,816810
sick,814649
25,812788
kids,811513
positivo,811176
it,808899
shit,806569
using,806452
system,802435
wearing,801290
toll,800983
population,800080
21,799653
treatment,799045
less,795830
pay,793257
par,788261
chinese,786566
rt,786549
record,784422
experts,783103
hard,777933
bien,777236
16,776558
recovered,774483
share,773739
point,771092
así,771053
normal,769341
donald,763840
gov,762191
human,762140
save,761323
saying,760593
cause,759572
always,759061
order,755906
no,755609
fuck,755345
mas,751760
canada,751755
learn,751133
officials,748946
casa,748080
17,747637
lot,744403
least,744145
everything,743972
actually,743344
early,742202
ini,738892
market,733937
police,732950
presidente,731563
govt,730806
future,729021
together,724523
election,724015
measures,723159
join,722532
link,722193
untuk,720851
this,720819
month,720434
including,719981
march,718803
used,718365
shows,715314
emergency,715201
doctor,715180
ll,714955
hours,714772
feel,714368
close,713646
increase,710972
party,710411
wrong,709347
pfizer,707903
united,702578
rise,701407
minister,701340
possible,700723
anything,700325
españa,697172
pacientes,696826
available,695910
la,690583
días,688089
maybe,687716
related,687647
wave,682631
told,681687
thought,680584
fallecidos,679018
truth,676923
info,676197
muertos,674043
fake,672104
families,670381
remember,668941
federal,665107
three,664061
likely,663945
personal,663925
dying,663621
ai,662524
small,661985
vous,661904
het,657381
found,656807
despite,655578
el,655031
called,653644
air,653358
looking,653163
fact,650201
sign,648925
black,648514
etc,646083
cuarentena,645186
millions,645170
fucking,644308
rules,644109
governor,640264
little,640054
left,639102
worse,638644
self,636582
mean,636445
you,636209
is,636101
results,634352
40,634176
on,633296
anti,633215
puede,630363
wait,627523
horas,627116
spreading,623334
homes,622362
thousands,622130
nation,619867
ago,618570
we,618269
makes,613499
en,608566
administration,607191
according,605985
seen,604472
positivos,604015
friends,603536
leaders,601543
nuevo,601095
00,600938
sars,600457
set,596573
hands,596061
based,595702
200,593899
political,592874
act,592687
22,591978
service,591619
500,590376
for,589780
women,587803
past,585384
kill,585372
different,585149
almost,584883
leadership,582239
mayor,580144
venezuela,579746
understand,576904
democrats,575915
través,574844
current,574843
fear,573984
europe,572410
menos,571286
california,570474
office,568514
wo,568501
services,568061
कर,567899
vaccination,567334
qu,567001
talk,565766
whole,564184
nhs,563446
africa,562155
worst,561686
uma,561684
visit,561563
cómo,560589
lies,558497
war,556894
given,556649
johnson,556546
highest,556228
joebiden,555693
force,555297
single,554819
education,554171
stupid,553469
hear,553154
cas,551246
able,551014
scientists,549546
immunity,548815
ver,548237
hacer,546923
become,546304
low,546030
following,545920
coronaviruspandemic,545641
tweet,545555
coronavírus,544489
wuhan,543879
jobs,543804
question,542805
behind,542550
gets,541814
line,541229
among,540762
texas,539600
group,538395
potus,536439
oms,536201
60,536063
millones,534916
active,534768
argentina,531379
ask,531012
all,530633
problem,530541
deal,529963
vida,529894
instead,527722
seems,526314
members,526243
caso,525255
play,523712
stayhome,522722
closed,522709
issues,522599
hace,522444
means,522374
ou,520911
reason,520502
action,520403
nous,520282
2019,519755
evidence,518246
april,517405
yesterday,515815
else,515658
wants,514812
listen,513990
wow,513386
dengan,513012
australia,511815
hoax,511551
avec,506466
shut,503656
general,503241
años,501294
23,499077
lol,498040
cada,497721
needed,497246
questions,496385
ok,496120
try,494709
prevent,493331
especially,492792
aquí,490206
pandemi,488934
surge,487819
citizens,486325
killed,486030
rest,484713
course,483761
industry,482517
bbc,482028
power,481903
mental,481652
thread,481189
sad,479500
started,476794
ist,476305
28,476166
provide,472379
nursing,470674
residents,470109
taken,469517
living,466102
sir,465409
idea,463585
list,463281
sense,462601
law,459431
reporting,456945
drug,455899
age,455603
tem,454188
patient,453423
term,452080
negative,450575
gracias,450426
level,449930
mal,449895
guidelines,447676
interesting,447154
season,445462
pruebas,445347
tras,442534
though,437573
june,436144
return,436034
confirmados,434837
looks,433431
caused,433412
higher,433394
hi,432437
hey,430277
nearly,430263
access,429702
affected,428258
key,427774
happy,427246
university,426625
happen,426104
staysafe,425824
serious,424889
plans,424595
took,422956
casi,422385
campaign,421567
cure,421399
july,420921
source,420752
talking,420674
dies,419244
comes,418459
contagio,418261
boris,417861
vez,417789
ready,417077
im,415180
co,413619
probably,412231
run,410377
kita,409855
sont,409618
vs,407223
issue,404740
vacunas,404013
critical,403662
morning,401060
reopening,400102
dari,398631
international,398462
kesehatan,397780
últimas,397456
ça,396447
digital,394333
ones,392712
fighting,391702
continues,390762
effective,387211
reopen,386820
matter,386211
spike,385526
wonder,382269
san,381568
blame,379685
company,379583
policy,377743
70,376179
poor,375630
pcr,375197
virtual,374780
nigeria,374753
chief,374084
announced,373606
27,370989
employees,368680
heart,368430
move,368175
pra,367381
that,366473
stimulus,363287
republicans,362523
joe,360525
companies,359858
seriously,359444
información,358393
went,357054
número,356534
lockdowns,355462
पर,355172
leader,355028
gon,353155
tv,353113
department,353046
half,352691
essential,351414
den,350453
young,349997
common,349610
parents,348967
fall,348271
england,347221
within,344242
killing,343288
situación,342783
deadly,342656
contre,341712
financial,341245
communities,340660
advice,340623
result,340536
trust,338804
hold,337532
sector,336792
bolsonaro,336367
area,334260
26,331382
failed,330930
nueva,329461
nicht,329346
90,329320
noticias,329192
parte,328696
politics,327980
monday,326739
80,325934
rates,325368
dangerous,325263
healthy,324681
hand,324602
ng,321786
borisjohnson,321432
quedateencasa,321217
lead,320925
dalam,320750
came,320441
semana,320128
claims,320079
yg,318922
protokol,316784
leave,316719
history,316237
que,316208
variant,315669
mejor,315403
buy,315043
head,313850
effects,313276
event,312589
blood,311751
dice,308534
datos,307083
narendramodi,306470
dia,306167
doses,304852
hydroxychloroquine,303554
penyebaran,303038
vulnerable,303015
game,302500
mass,302193
mit,301324
russia,300776
program,300248
christmas,299840
cuomo,299681
friday,299526
pass,297581
date,294405
hell,292693
demand,292448
guy,292278
bring,290929
unemployment,290259
mortes,290085
huge,287564
ils,287558
bir,286810
society,285995
finally,284363
ppe,284273
registra,283504
indonesia,283334
official,282614
major,282112
press,281873
transmission,281868
details,281782
países,281403
31,280732
aid,280533
learning,280167
billion,278275
webinar,277942
evitar,277515
confinement,276866
clear,276044
ways,275131
helping,274771
रह,274441
italia,273764
congress,272166
up,272155
trial,272149
ont,271689
foxnews,269940
zero,268848
sorry,268716
late,268081
efforts,267702
er,267252
ke,267205
gates,266788
un,265407
moderna,264928
funding,264814
aux,263121
protests,261369
knew,260718
security,260608
cov,260353
nacional,260311
italy,258468
facts,255242
nytimes,254583
29,254461
wearamask,253980
vacina,253233
director,252409
football,252194
january,251576
een,251478
records,250128
fda,249910
covid__19,249277
goes,248601
guess,247819
giving,247474
rally,246765
vaccin,245772
lie,245197
whitehouse,244909
fund,244803
और,244049
damn,242544
99,242245
calls,240736
lying,239798
happening,238258
ang,237927
después,236579
four,236049
meses,235358
tan,235111
rising,234904
madrid,234342
astrazeneca,233967
cuba,233729
vai,233676
ahead,232080
technology,231345
tax,231211
frente,228090
colombia,227633
sunday,227293
tuesday,224938
calling,224558
zu,224048
teachers,222664
vacunación,221238
facebook,220942
guys,218302
false,214581
vamos,213862
super,213475
thursday,213304
responsible,212870
ao,212255
tomorrow,212147
november,211922
name,211818
lack,210155
lab,210124
failure,209562
website,208656
año,208603
click,208371
bu,208151
task,207845
já,206484
300,205807
pence,205278
rel,204684
href,204509
positif,204212
nofollow,203659
republican,203519
brazil,202382
wednesday,202113
agree,201823
polri,201681
von,201007
challenges,200769
tracing,200556
mark,200512
hate,200429
senate,200336
delhi,200251
met,200191
germany,199956
august,199695
vaksin,199102
pmoindia,198588
moment,198290
médicos,197518
front,197162
december,196931
vaccinated,196209
gone,195444
pa,194977
weekend,194804
washington,194706
als,194616
isolation,193734
45,193568
stayathome,192358
novel,192306
faire,192131
september,192115
opening,191649
night,190569
longer,189251
atención,187796
fin,187206
tener,187191
resources,186791
child,186560
center,186417
forward,186344
covid2019,186198
summer,185975
favor,185248
recent,184954
mr,184136
ppl,184074
tout,183532
petition,183358
outside,183352
strain,180558
thinking,179955
masker,179756
fox,178741
entire,178559
handling,178539
allowed,178203
ada,176901
sarscov2,176423
op,175944
distance,174909
warns,174304
nurses,173362
send,173334
immune,172285
crise,172277
mind,172255
vaccinations,171911
masyarakat,171746
strategy,171062
pakistan,170174
message,169474
spain,169360
ny,169108
sigue,168991
red,168245
nyc,167906
concerns,167719
fait,166010
at,165496
absolutely,164849
primer,163674
biontech,163579
saturday,162981
web,162796
für,160994
chance,160151
yeah,159611
threat,159581
october,157942
phase,157890
happened,157873
google,157555
según,157371
trials,157107
guidance,156437
north,156358
jesus,156301
blog,155965
orders,155341
dat,154430
package,154189
plasma,154141
side,153072
special,152948
amazing,152612
reuters,152590
dose,152331
oct,151626
socialdistancing,151192
protection,150943
cost,150731
obama,149855
players,149658
woman,149570
biggest,149524
pelosi,149406
05,149114
covidvaccine,149065
oxford,148898
cover,148490
ontario,148183
worldwide,147864
ass,147254
receive,147202
potential,146933
briefing,146510
être,146137
chile,144797
college,144371
só,143934
icu,143825
kind,142726
