gram,counts
covid 19 cases,1813021
covid 19 pandemic,1776256
covid 19 vaccine,1712750
positive covid 19,827830
new covid 19,729316
due covid 19,647050
casos covid 19,640197
covid 19 deaths,549120
covid 19 patients,511635
coronavirus covid 19,472533
covid 19 crisis,444986
covid 19 via,417084
covid 19 testing,386727
cases covid 19,372815
covid 19 di,371334
covid 19 test,370046
covid 19 vaccines,350542
pandemi covid 19,346988
new coronavirus cases,324046
amid covid 19,322492
da covid 19,322069
covid 19 outbreak,320552
penyebaran covid 19,309428
últimas 24 horas,306212
covid 19 relief,295374
pandemia covid 19,284584
vacuna covid 19,283797
spread covid 19,280078
covid 19 response,273789
covid 19 death,258732
tested positive covid,251164
impact covid 19,250230
died covid 19,250174
fight covid 19,245112
covid 19 virus,243814
positivo covid 19,243559
covid 19 lockdown,229517
covid 19 update,229006
get covid 19,219941
covid 19 coronavirus,218383
tested positive coronavirus,213958
covid 19 tests,210696
covid 19 restrictions,210517
tests positive covid,210377
new york times,209919
href rel nofollow,203654
bbc news coronavirus,200637
true href rel,199756
tests positive coronavirus,183019
du covid 19,181406
positif covid 19,180214
contagios covid 19,179239
response covid 19,177417
rel nofollow twitter,170951
covid 19 em,170888
covid 19 positive,167100
covid 19 case,165850
test positive covid,165296
covid 19 vaccination,164188
nuevos casos coronavirus,160080
last 24 hours,157150
covid 19 infections,153279
muertes covid 19,150754
coronavirus task force,149563
new cases covid,148502
virus covid 19,146537
nuevos casos covid,145253
vaksin covid 19,138908
covid 19 amp,136804
post covid 19,136547
positivos covid 19,132180
coronavirus death toll,131930
covid 19 infection,130830
000 covid 19,128935
amid coronavirus pandemic,128822
gt gt gt,127828
com covid 19,126242
pacientes covid 19,125943
penanganan covid 19,125711
covid 19 spread,124173
covid 19 impact,123940
covid 19 related,123904
covid 19 situation,122369
new covid19 cases,121371
coronavirus live updates,119899
number covid 19,118666
dies covid 19,117314
covid 19 dengan,116694
nofollow twitter web,113891
covid 19 data,112582
test positive coronavirus,108923
deaths covid 19,108664
sign petition via,108102
first covid 19,107078
confirmed covid 19,105788
vacunas covid 19,105489
trump covid 19,104714
covid 19 numbers,104284
covid 19 dan,104230
die covid 19,104002
contre covid 19,102257
tested positive covid19,101566
pasien covid 19,100980
us covid 19,100696
president donald trump,100039
covid 19 treatment,99753
covid 19 symptoms,99487
twitter web app,97397
people covid 19,95880
covid 19 covid19,95677
от covid 19,95402
world health organization,95109
mortes covid 19,94477
health care workers,93599
covid 19 vía,93506
porn usa football,92657
usa football covid19,92643
new cases coronavirus,90805
test covid 19,90452
casos positivos covid,88057
pfizer covid 19,87682
new york city,84911
infected covid 19,84772
coronavirus covid19 sarscov2,84732
stay at home,84558
india mitega india,84042
update covid 19,81974
vacina covid 19,80722
covid 19 covid,80300
au covid 19,80232
kasus covid 19,79793
crisis covid 19,79138
know covid 19,78908
get well soon,78699
covid 19 méxico,78571
covid 19 través,78390
covid 19 patient,78380
covid 19 yang,78179
long term care,78115
covid 19 recovery,77836
covid 19 news,77565
19 death toll,77094
coronavirus disease 2019,76795
covid 19 updates,76765
population coronavirus covid19,76477
covid19 sarscov2 forecast,76423
tested covid 19,76194
covid 19 could,75018
covid 19 ini,74856
mitega india mitega,74762
says covid 19,74368
like covid 19,74319
death population coronavirus,74288
new death population,74085
covid 19 may,73569
since covid 19,72484
covid 19 still,72408
fallecidos covid 19,72225
negative covid 19,72038
free covid 19,71906
latest covid 19,71037
getting covid 19,70689
contagio covid 19,68473
muertos covid 19,68441
covid 19 país,68420
daily covid 19,67500
risk covid 19,67405
take covid 19,67281
due coronavirus pandemic,67222
case covid 19,66764
time covid 19,65841
vacunación covid 19,65429
2019 covid 19,65222
covid 19 protocols,63995
handling covid 19,63401
penularan covid 19,62834
covid 19 vaccinations,61888
covid 19 safety,61557
terdampak covid 19,61312
wave covid 19,61008
2121 hello fantasticradio,60773
fantasticradio co uk,60640
hello fantasticradio co,60636
covid 19 new,60404
frente covid 19,60365
19 covid 19,59773
despite covid 19,59511
dying covid 19,59460
patuhi protokol kesehatan,59180
covid 19 hoax,58736
talk us 0208,58707
cashless society know,57688
million covid 19,57130
covid 19 brasil,56642
past 24 hours,56293
pruebas covid 19,56015
affected covid 19,55966
2020 covid 19,55923
covid 19 world,55271
slow spread covid19,55187
dr anthony fauci,54561
covid 19 surge,53837
vaksinasi covid 19,53564
help slow spread,53549
nuevos casos positivos,53526
covid 19 na,53062
white house coronavirus,52899
effects covid 19,52423
cegah covid 19,52183
towards cashless society,51756
got covid 19,51488
confirmados covid 19,50952
covid 19 real,50298
mencegah penyebaran covid,50253
fighting covid 19,50156
covid 19 variant,50126
disease 2019 covid,49501
covid 19 et,49493
amp covid 19,49366
covid 19 mundo,49035
johnson amp johnson,48888
india covid 19,48811
di tengah pandemi,48617
entertain empower educate,48451
news coronavirus covid19,48446
090 2121 hello,48321
0208 090 2121,48321
empower educate talk,48320
covid 19 hospital,48251
rfid microchip mark,47831
dari covid 19,47814
microchip mark beast,47616
us 0208 090,47142
educate talk us,47141
new cases covid19,46775
global covid 19,46708
nofollow twitter android,46645
1trenggalek thearieair tjhinfar21,46467
treatment covid 19,45215
covid 19 would,44684
total covid 19,44480
casos confirmados covid,43999
covid 19 rules,43985
covid 19 health,43679
petition via change,43521
vaccine covid 19,43070
coronavirus relief bill,43034
pandemic news coronavirus,42887
99 recovery rate,42755
moderna covid 19,42755
patients covid 19,42684
covid 19 guidelines,42289
global pandemic news,42228
coronaviruspandemic covid19india coronavirus,42149
related covid 19,42099
000 americans died,41995
deliver copy officials,41915
000 americans dead,41275
must read article,40290
cure covid 19,40075
confirmed coronavirus cases,39738
black lives matter,39684
covid 19 diagnosis,39671
000 new cases,38788
covid 19 disease,38629
news covid 19,38593
caso covid 19,38535
casos positivos coronavirus,38488
tengah pandemi covid,38080
receive covid 19,37990
doses covid 19,37974
increase covid 19,37879
second wave coronavirus,37759
memerangi covid 19,37508
total confirmed cases,37503
covid 19 venezuela,37452
cegah penyebaran covid,37332
new cases confirmed,37307
article amp reuters,37181
epoch times app,36974
coronavirus coronavirusupdate covid19,36964
cas covid 19,36868
severe covid 19,36660
coronavirus covid19 protests,36550
treat covid 19,36547
chinese communist party,36400
times app see,36327
coronavirusupdate covid19 coronaviruspandemic,36323
gmt coronavirus coronavirusupdate,36299
exclusive coronavirus coverage,36270
app see exclusive,36263
coverage daily updates,36221
think covid 19,35880
usa northamerica cases,35779
coronavirus coverage daily,35742
see exclusive coronavirus,35716
pela covid 19,35690
meaning behind calculating,35652
hidden meaning behind,35546
spike covid 19,35468
home covid 19,35249
pencegahan covid 19,34591
combate covid 19,34582
19 relief bill,34553
recovered covid 19,34047
biontech covid 19,33928
covid 19 outbreaks,33532
pfizer biontech covid,33349
19 di indonesia,33278
nueva cepa coronavirus,33151
vacinação covid 19,32902
at home order,32767
current covid 19,32699
surge covid 19,32467
highest single day,32366
coronavirus sars cov,32081
the covid 19,31872
dio positivo coronavirus,31771
potential covid 19,31750
co uk fantasticradiouk,31717
covid19 covid coronavirus,31700
stayhomesafelives buy song,31626
believeyourpossibilities stayhomesafelives buy,31626
coronavirus cases rise,31609
uk fantasticradiouk homeofpossibilities,31580
fantasticradiouk homeofpossibilities believeyourpossibilities,31580
homeofpossibilities believeyourpossibilities stayhomesafelives,31580
ministério da saúde,31386
menerapkan protokol kesehatan,31112
lucha covid 19,31072
first time since,31014
covid 19 risk,30944
indiafightscorona stayhome staysafe,30869
of covid 19,30769
overreach covid 19,30704
government overreach covid,30694
worried government overreach,30683
people tested positive,30617
rantai covid 19,30422
astrazeneca covid 19,30268
spreading covid 19,30187
causa covid 19,30185
covid19 last days,30144
lawan covid 19,30105
covid 19 stimulus,30058
coronavirus indiafightscorona stayhome,29867
copy officials last,29748
officials last delivered,29748
covid19india coronavirus indiafightscorona,29718
last days stats,29673
bot covid19 last,29668
covid19 bot covid19,29668
hospitalized covid 19,29472
number coronavirus cases,29416
sa covid 19,29336
total number cases,29327
second wave covid,29311
battle covid 19,29247
covid 19 complications,29152
testing positive covid,29136
uk covid 19,29129
19 via youtube,28919
distancing mask wearing,28758
patients nursing homes,28650
people died covid,28573
co uk homeofpossibilities,28429
uk homeofpossibilities believeyourpossibilities,28429
port du masque,28382
dio positivo covid,28379
control covid 19,28376
covid 19 emergency,28354
на covid 19,28321
covid 19 testi,28316
believeyourpossibilities buy song,28242
homeofpossibilities believeyourpossibilities buy,28242
covid 19 lockdowns,27786
mematuhi protokol kesehatan,27607
covid 19 exposure,27602
covid 19 concerns,27583
rantai penyebaran covid,27493
nuevos casos covid19,27188
yang terdampak covid,27021
rise covid 19,26915
