index,name,full_name,place_type,count
3b77caf94bfc81fe,Los Angeles,"Los Angeles, CA",city,20207
01a9a39529b27f36,Manhattan,"Manhattan, NY",city,18986
4ec01c9dbc693497,Florida,"Florida, USA",admin,12544
01fbe706f872cb32,Washington,"Washington, DC",city,11798
1d9a5370a355ab0c,Chicago,"Chicago, IL",city,11462
1c69a67ad480e1b1,Houston,"Houston, TX",city,9499
011add077f4d2da3,Brooklyn,"Brooklyn, NY",city,9389
dd9c503d6c35364b,Pennsylvania,"Pennsylvania, USA",admin,8675
7142eb97ae21e839,Georgia,"Georgia, USA",admin,8412
e4a0d228eb6be76b,Philadelphia,"Philadelphia, PA",city,6918
e0060cda70f5f341,Texas,"Texas, USA",admin,6783
5a110d312052166f,San Francisco,"San Francisco, CA",city,6718
300bcc6e23a88361,Seattle,"Seattle, WA",city,6347
00c39537733fa112,Queens,"Queens, NY",city,6282
5c62ffb0f0f3479d,Phoenix,"Phoenix, AZ",city,5934
c3f37afa9efcf94b,Austin,"Austin, TX",city,5541
94965b2c45386f87,New York,"New York, USA",admin,5186
fbd6d2f5a4e4a15e,California,"California, USA",admin,5178
a592bd6ceb1319f7,San Diego,"San Diego, CA",city,5164
3b98b02fba3f9753,North Carolina,"North Carolina, USA",admin,4975
18810aa5b43e76c7,Dallas,"Dallas, TX",city,4562
8173485c72e78ca5,Atlanta,"Atlanta, GA",city,4551
5635c19c2b5078d1,Virginia,"Virginia, USA",admin,4503
3df4f427b5a60fea,San Antonio,"San Antonio, TX",city,4286
67b98f17fdcf20be,Boston,"Boston, MA",city,4002
512a8a4a4c4b4be0,Charlotte,"Charlotte, NC",city,3810
3df0e3eb1e91170b,Columbus,"Columbus, OH",city,3776
6057f1e35bcc6c20,South Carolina,"South Carolina, USA",admin,3647
00ab941b685334e3,Nashville,"Nashville, TN",city,3570
a1839e9c3b5abff6,Sunrise Manor,"Sunrise Manor, NV",city,3431
b49b3053b5c25bf5,Denver,"Denver, CO",city,3352
ac88a4f17a51c7fc,Portland,"Portland, OR",city,3217
6ffcf3b0b904bbcb,Kentucky,"Kentucky, USA",admin,3067
c0b8e8dc81930292,Baltimore,"Baltimore, MD",city,3035
7dc5c6d3bfb10ccc,Wisconsin,"Wisconsin, USA",admin,2972
8e9665cec9370f0f,Minneapolis,"Minneapolis, MN",city,2917
018929347840059e,Indianapolis,"Indianapolis, IN",city,2904
2526edd24c06e60c,Missouri,"Missouri, USA",admin,2877
319ee7b36c9149da,Arlington,"Arlington, VA",city,2768
dd3b100831dd1763,New Orleans,"New Orleans, LA",city,2694
002e24c6736f069d,Bronx,"Bronx, NY",city,2584
de599025180e2ee7,Ohio,"Ohio, USA",admin,2540
5c2b5e46ab891f07,Las Vegas,"Las Vegas, NV",city,2510
67d92742f1ebf307,Michigan,"Michigan, USA",admin,2503
04cb31bae3b3af93,Miami,"Miami, FL",city,2473
dc62519fda13b4ec,Tampa,"Tampa, FL",city,2351
9807c5c5f7a2c6ce,Minnesota,"Minnesota, USA",admin,2298
7f7d58e5229c6b6c,Tennessee,"Tennessee, USA",admin,2297
e21c8e4914eef2b3,Colorado,"Colorado, USA",admin,2292
946ccd22e1c9cda1,Pittsburgh,"Pittsburgh, PA",city,2260
b71fac2ee9792cbe,Sacramento,"Sacramento, CA",city,2163
d374fb61a20fb74f,Nevada,"Nevada, USA",admin,2098
a612c69b44b2e5da,Arizona,"Arizona, USA",admin,2058
161d2f18e3a0445a,Raleigh,"Raleigh, NC",city,2006
813a485b26b8dae2,Albuquerque,"Albuquerque, NM",city,2002
55b4f9e5c516e0b6,Orlando,"Orlando, FL",city,1953
013379ee5729a5e6,Tucson,"Tucson, AZ",city,1952
1010ecfa7d3a40f8,Indiana,"Indiana, USA",admin,1947
7d62cffe6f98f349,San Jose,"San Jose, CA",city,1868
9531d4e3bbafc09d,Oklahoma City,"Oklahoma City, OK",city,1858
e8ad2641c1cb666c,Arkansas,"Arkansas, USA",admin,1829
96683cc9126741d1,United States,United States,country,1819
9a974dfc8efb32a0,Kansas City,"Kansas City, MO",city,1812
f54a2170ff4b15f7,Illinois,"Illinois, USA",admin,1787
ab2f2fac83aa388d,Oakland,"Oakland, CA",city,1781
27c45d804c777999,Kansas,"Kansas, USA",admin,1714
f995a9bd45d4a867,Memphis,"Memphis, TN",city,1712
42e46bc3663a4b5f,Fort Worth,"Fort Worth, TX",city,1677
288de3df481163e8,Alabama,"Alabama, USA",admin,1647
c47c0bc571bf5427,Honolulu,"Honolulu, HI",city,1574
bc3a38d3d5999b4b,Washington,"Washington, USA",admin,1560
43d2418301bf1a49,Mississippi,"Mississippi, USA",admin,1557
0570f015c264cbd9,St Louis,"St Louis, MO",city,1552
0eb9676d24b211f1,Cleveland,"Cleveland, OH",city,1532
bd7c511e9f8bc5da,Salt Lake City,"Salt Lake City, UT",city,1527
6a0a3474d8c5113c,El Paso,"El Paso, TX",city,1520
bd3d2074a33fbd06,Oklahoma,"Oklahoma, USA",admin,1518
dea1eac2d7ef8878,Maryland,"Maryland, USA",admin,1513
463f5d9615d7d1be,Maine,"Maine, USA",admin,1508
e86b380cfefcced5,Connecticut,"Connecticut, USA",admin,1495
3f5897b87d2bf56c,Delaware,"Delaware, USA",admin,1488
01c060cf466c6ce3,Long Beach,"Long Beach, CA",city,1478
cd450c94084cbf9b,Massachusetts,"Massachusetts, USA",admin,1419
a84b808ce3f11719,Omaha,"Omaha, NE",city,1415
7b117cdec2df9ae0,Olney,"Olney, MD",city,1369
b463d3bd6064861b,Detroit,"Detroit, MI",city,1354
2a93711775303f90,Milwaukee,"Milwaukee, WI",city,1350
6c686af766d8429c,Fort Lauderdale,"Fort Lauderdale, FL",city,1343
6565298bcadb82a1,Knoxville,"Knoxville, TN",city,1294
095534ad3107e0e6,Louisville,"Louisville, KY",city,1290
00c55f041e27dc51,Staten Island,"Staten Island, NY",city,1288
df7fd3a3b9eff7ee,Oregon,"Oregon, USA",admin,1287
