date,pos,neg,inc,total,pos_rate
2020-03-01,67,304,1,372,0.18010752688172044
2020-03-02,74,444,3,521,0.1420345489443378
2020-03-03,35,875,3,913,0.038335158817086525
2020-03-04,110,785,1,896,0.12276785714285714
2020-03-05,114,1080,5,1199,0.0950792326939116
2020-03-06,178,1332,13,1523,0.11687458962573867
2020-03-07,154,1632,3,1789,0.08608160983789827
2020-03-08,217,1442,7,1666,0.13025210084033614
2020-03-09,269,2015,13,2297,0.11710927296473661
2020-03-10,380,2900,17,3297,0.11525629360024264
2020-03-11,503,4132,18,4653,0.10810229959166129
2020-03-12,799,7720,21,8540,0.09355971896955503
2020-03-13,1068,10314,25,11407,0.09362672043482072
2020-03-14,1197,11780,32,13009,0.09201322161580444
2020-03-15,1374,13097,23,14494,0.09479784738512488
2020-03-16,2749,24728,35,27512,0.0999200348938645
2020-03-17,4768,35140,43,39951,0.11934619909389002
2020-03-18,6372,44129,41,50542,0.12607336472636618
2020-03-19,7355,53865,64,61284,0.12001501207492983
2020-03-20,10438,66062,89,76589,0.13628588961861363
2020-03-21,11677,63904,107,75688,0.1542780889969348
2020-03-22,12353,61611,104,74068,0.16677917589242316
2020-03-23,14030,65545,150,79725,0.1759799310128567
2020-03-24,18598,85916,141,104655,0.1777077062729922
2020-03-25,19880,94619,114,114613,0.17345327318890527
2020-03-26,23449,105612,155,129216,0.18147133481921743
2020-03-27,24706,111059,146,135911,0.18178072415036312
2020-03-28,23919,98431,124,122474,0.19529859398729527
2020-03-29,22352,88397,113,110862,0.20162003211199508
2020-03-30,25162,97896,140,123198,0.2042403285767626
2020-03-31,30529,111767,232,142528,0.21419650875617421
2020-04-01,33095,119826,295,153216,0.21600224519632413
2020-04-02,34360,127416,313,162089,0.2119823060170647
2020-04-03,34973,133888,307,169168,0.20673531637189066
2020-04-04,30894,116385,181,147460,0.20950766309507662
2020-04-05,28919,109497,226,138642,0.20858758529161436
2020-04-06,30835,111536,367,142738,0.21602516498759966
2020-04-07,34621,145059,341,180021,0.19231645196949246
2020-04-08,34864,132908,357,168129,0.20736458314746414
2020-04-09,35975,137650,442,174067,0.20667329246784283
2020-04-10,35460,135621,463,171544,0.20671081471808983
2020-04-11,37090,173006,436,210532,0.17617274333592994
2020-04-12,23852,87656,239,111747,0.21344644598960152
2020-04-13,23803,90353,285,114441,0.20799363864349316
2020-04-14,30383,131576,312,162271,0.18723616665947704
2020-04-15,33711,138157,393,172261,0.19569722688246324
2020-04-16,34272,149349,407,184028,0.1862325298324168
2020-04-17,33854,163267,422,197543,0.1713753461271723
2020-04-18,28603,137819,351,166773,0.17150857752753743
2020-04-19,22662,110843,406,133911,0.1692318032125815
2020-04-20,26490,132637,370,159497,0.16608462855100722
2020-04-21,33991,186638,488,221117,0.15372404654549401
2020-04-22,36260,198497,551,235308,0.15409590834140785
2020-04-23,35743,196088,690,232521,0.15371944899600465
2020-04-24,38611,219489,711,258811,0.1491860855991438
2020-04-25,32249,186475,522,219246,0.147090482836631
2020-04-26,26535,143913,813,171261,0.15493895282638778
2020-04-27,31946,192903,948,225797,0.1414810648502859
2020-04-28,33966,233911,909,268786,0.12636818881935816
2020-04-29,40190,253351,1026,294567,0.13643755071002522
2020-04-30,41712,279206,1131,322049,0.12952066300469806
2020-05-01,42791,292615,1335,336741,0.1270739232822852
2020-05-02,31184,236045,1144,268373,0.11619648772417493
2020-05-03,24510,189738,783,215031,0.11398356516037222
2020-05-04,27065,222269,903,250237,0.10815746672154797
2020-05-05,35447,283266,943,319656,0.11089108291413269
