favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,neg,neu,pos,comp,polar,subj
0,Instagram,"b'COVID-19 update \nHome???\n100-15 204th St, Queens, NY 11423\nNo AC \nHRA CityFHEPS 311NYC Home Base Housing Connect Re\xe2\x80\xa6 https://t.co/yO4kHMVrrx'",,False,Sun Jul 26 04:12:26 +0000 2020,0,b'1287239329841111040',0.0,1.0,0.0,0.0,-0.8,1.0
0,Twitter for iPhone,b'Y\xe2\x80\x99all bunch of dam clowns. Cook some real meat Enjoy a beer wine or whiskey And screw these retards with their COVI\xe2\x80\xa6 https://t.co/2yszVRuhgS',,False,Sun Jul 26 04:12:56 +0000 2020,0,b'1287239454684524544',0.253,0.579,0.168,-0.1531,-0.09999999999999998,0.6
0,Twitter for Android,b'When does this lost soul come up for re-election? Not sure if\nthis is his first term? But either\nway if he stays in\xe2\x80\xa6 https://t.co/BlgzhUJKcp',,False,Sun Jul 26 04:07:30 +0000 2020,0,b'1287238086737485825',0.183,0.635,0.183,0.0,0.375,0.611111111111111
0,Twitter for Android,b'@realDonaldTrump wut r you going to do to protect USA against covid19 &amp; your failure to protect US?\nWut r you doing\xe2\x80\xa6 https://t.co/3IoLRuV8GY',realDonaldTrump,False,Sun Jul 26 04:10:21 +0000 2020,0,b'1287238806261731328',0.0,0.574,0.426,0.6369,0.0,0.0
0,Twitter for Android,"b""I know I was very suspicious of you but you know what I think you'll have our backs https://t.co/WZP8IhtOUr""",,False,Sun Jul 26 04:07:35 +0000 2020,0,b'1287238106878545922',0.0,1.0,0.0,0.0,0.0,0.0
0,Twitter for iPhone,b'These right wing rags assume Americans are ignorant and passive. https://t.co/Yw5hm0C4h3',,False,Sun Jul 26 04:21:02 +0000 2020,0,b'1287241493233586176',0.0,1.0,0.0,0.0,0.14285714285714285,0.26785714285714285
0,Instagram,"b'(07/25/20) 2020 Coronavirus House Arrest Day 132 - Rest In Peace, Regis Philbin. I never got to be a millionaire bu\xe2\x80\xa6 https://t.co/dAoquEniuP'",,False,Sun Jul 26 04:13:59 +0000 2020,0,b'1287239718346924033',0.179,0.821,0.0,-0.34,-0.05,0.0
0,Twitter for Android,"b""@realDonaldTrump @Hawaii_EMA @TDEM Hey, did you hear that there's a COVID-19 pandemic ravaging the nation?""",realDonaldTrump,False,Sun Jul 26 04:03:08 +0000 2020,0,b'1287236987448156163',0.0,1.0,0.0,0.0,0.0,0.0
1,Twitter for iPhone,b'This seems like it should\xe2\x80\x99ve been a headline 4 months ago. #maskup #StayAtHome #WashYourHands #SocialDistancing https://t.co/trFI4IbAWk',,False,Sun Jul 26 04:07:03 +0000 2020,0,b'1287237973478641666',0.0,0.783,0.217,0.3612,0.0,0.0
63,Twitter for iPhone,"b""we can't have shit in memphis \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/yFv9qw1sE8""",,False,Sun Jul 26 04:20:13 +0000 2020,23,b'1287241288300007425',0.0,0.406,0.594,0.4449,-0.2,0.8
0,Twitter for Android,b'@MizCoretta There are no known medical conditions aside from a severe skin condition [like a very severe burn that\xe2\x80\xa6 https://t.co/EiOnbLW3yh',MizCoretta,False,Sun Jul 26 04:16:27 +0000 2020,0,b'1287240339279970304',0.0,0.783,0.217,0.3612,0.0,0.0
0,Twitter for iPhone,b'LMFAOOOOO https://t.co/NAyQ8GscXo',,False,Sun Jul 26 04:26:23 +0000 2020,0,b'1287242841085939712',0.0,1.0,0.0,0.0,0.0,0.0
0,Twitter for Android,b'Promise of Therapudic to fight Coronavirus. #Coronavirus. @OANN @TheEconomist\nhttps://t.co/J0wHze6Am5',,False,Sun Jul 26 04:05:10 +0000 2020,0,b'1287237500788969472',0.394,0.606,0.0,-0.3818,0.0,0.0
0,Twitter for Android,"b""Thank you but we know it's not true https://t.co/hGYa4OBjW6""",,False,Sun Jul 26 04:06:11 +0000 2020,0,b'1287237755479535616',0.0,0.159,0.841,0.6486,0.35,0.65
